text,no_of_words,spam
save money getting oem software need software pc visit site might need best regard chrissy,35,1
candidate intern hi vince molly attached one candidate particularly interested profile sent vince going traveling ny uk soon wks specifically asked partner robertwalters uk investigate enron new relationship guy would howard haughton attached cv resume student university michigan howard lin received last term willing whatever take intern enron june aug picture included well second sung friend howy done expected may sung may favorite intern expect cultivated enron culture real cost test drive committal agreed represent shall take ownership become graduate candidate upon degree completion hope attachment represent value commitment quality talent enron thank acceptance best wish weekend jeff get free secure online email http www ziplip com alec doc sungvince doc howardagent doc howardlin gif,274,0
stinson gibner paula access eci equipment work ena provided lyn bring current pc provide another system thanks richard week enron communication inc purchasing manager paula corey richard week enron communication enron communication culley harrelson enron gateway cc vince kaminski hou ect ect richard week enron communication enron communication stinson gibner gentleman stinson gibner joining desk location spoken new laptop eci lan also need access ect ena system proceed duplicating workstation thank paula,174,0
enterprise risk management dear vince thanks call day regarding eprm upcoming enterprise risk management conference seem making progress pulling together interesting subject inclusion year currently stage plenty possible session next week able decide stay go attached file give indication topic identified far although bullet point session would first like identify interested party work develop session reflects particular expertise experience also think continuously developing point make greater allowance continuity participant based discussion would extremely interested inviting lead session main conference seemed interesting view operational risk particular challenge presented within energy industry session run thursday november th title reasonably broad stage suggestion welcome overall view current conference content also welcome feel another session suited work hesitate contact look forward speaking soon sincerely paul bristow senior course conference producer energy power risk management maildoc doc,289,0
message sent blocked bulk email filter message ponddr nalu net blocked spam firewall email sent following delivered,51,1
project completed work progress dear vince hi hope fun vacation want drop line since talked give progress update first feeling much better eventhough last week finished following curve canadian cpi phillippines fx cpi mexican fx cpi saudi arabian fx cpi guatemalan fx also helped london rac finding information uk inflation model backtest gwyn yana kept busy last week yana life close nice enough drop work night gywn worked curve phone yesterday got call terry thorn needed economic information presentation give egm management gave copy conforming asset presentation pleased week working urgent request rac board decided resurrect dragon preparing curve apachi region also working metal presentation see thursday regard maureen,228,0
jacob feedback vince chonawee tom halliburton feedback jacob tom feedback pro actually simple called trading system actually scheduling system impression jacob good selling knowledge finance derivative limited zimin forwarded zimin lu hou ect pm chonawee supatgiat enron pm zimin lu hou ect ect cc tom halliburton corp enron enron jacob feedback asked jacob two question check basic knowledge answered correctly optimization question believe good foundation optimization skill doubt stochastic skill took one course stochastic process previous model simple deterministic model interview time would able check stochastic modeling skill completely failed answer second question check basic risk management skill clear weak background finance risk management understand relationship discount rate risk showed weakness annuity calculation conclusion feel good basic optimization weak background finance based experience doubt advance optimization skill stochastic skill ability attack complex optimization problem would recommend second round interview solving complex optimization problem chonawee,374,0
continental phone cust serv,24,0
iafe membership membership renewal form faxed vince kaminski requested full membership practitioner level charged mr kaminski credit card would please verify received form thank shirley crenshaw administrative coordinator forwarded shirley crenshaw hou ect pm vince kaminski shirley crenshaw hou ect ect cc vince kaminski hou ect ect iafe membership shirley please renew membership vince forwarded vince kaminski hou ect main iafe org pm cc iafe membership dear colleague pleased report exciting productive year dozen activity around world enter th year operation iafe additional membership option available please take moment look attached membership form rate schedule based member request premium membership offered includes annual conference discount financial engineer year dinner plus subscription journal derivative jod full membership remains previous year new regular membership includes membership benefit except jod membership based calendar year january december membership also available secured membership registration form website http www iafe org join ihtml website please take moment visit calendar listing upcoming event new year question please hesitate contact main iafe org regard donna jacobus iafe office manager membership application pdf,496,0
congratulation promotion lou,7,0
good morning john sound silly get many opportunity sit guy relaxed atmosphere chat shall read note get back come back philadelphia catch thing vince john martin vkamins enron com cc good morning vince know philadelphia today wanted ship first pas note leave town morning please edit add delete anything think appropriate objective note get thing paper much time passed place something quote indicates direct quote give call next week get back town thanks truly memorable experience plan frame jeff enron model may sound silly guy academic really appreciate opportunity like one got monday truly spectacular day take care john andy gave note care describing demand peaking plant able get sign hope offend asking signature silly graph left office occured might think making light please explain treasure simple model capturing essence optionality real asset doc john martin carr collins chair finance finance department baylor university po box waco tx office fax martin baylor edu web http hsb baylor edu html martinj home html,394,0
reduction high blood pressure age nothing number okay want hold young body long view new lifespan enhancement press increasing longevity increasing segment population frontier new millennium dr david howard medical journal news sorry address good reasoning rash youth idea speeding ocean destined arrive shortly barbarous island brava coast africa yet case sun sank edge wave saw great relief large island directly path dropped lower position air judged center island turned indicator zero stopped short,179,1
cialis offer freedom choosing right moment get medication need delivered door hour stop think often miss opportunity husband always sensible man never think marrying bad plan admits modification,62,1
visiting enron may th dear vince great news donna delighted time see may th office next week copy email assistant carol lovell ask get touch shirley scheduling well direction meet glad meet christie patrick well looking forward meeting susan pm wrote susan thank message shall glad meet may th shall ask assistant shirley crenshaw call set meeting also information recently set special unit coordinate enron relationship university person running unit christie patrick please feel free contact give name reference shall coordinate meeting may th vince additional information christie phone email christie patrick enron com susan hansen pm vkamins enron com cc visit stanford dear dr kaminski let briefly introduce director corporate relation school engineering stanford university role always watch way bring faculty together company appetite engagement top tier research institution believe know hill huntington senior researcher stanford energy modeling forum suggested get touch idea contact enron process planning trip texas early may along colleague donna lawrence university director corporate relation hoping able include stop enron itinerary right appears friday may th would work best beginning trip planning purpose visit would review current relationship enron stanford give overview current priority school engineering ask help identifying best point contact look forward hearing availability sincerely susan hansen susan hansen director corporate relation school engineering stanford university stanford ca susan hansen director corporate relation school engineering stanford university stanford ca,622,0
var article le revised version var article look fine vince,18,0
congratulation hi vince received email announcing promotion wanted take opportunity congratulate best regard ban,30,0
trading ag prod vince wanted let know done preliminary high level research commodity would glad share please let know would interested thank shalesh ganjoo vince kaminski ect shalesh ganjoo enron communication enron communication enron cc elsa piekielniak corp enron enron trading ag prod shalesh good idea shall forward ag trader vince shalesh ganjoo enron communication nelson neale na enron enron cc vince kaminski hou ect ect trading ag prod nelson know focusing agricultural product trading wanted know looking wool know traded australia new zealand might able look well please let know thank shalesh ganjoo,219,0
discussion mike might place steve unit supporting ee shall forward resume associate supporting facility management effort thanks thinking vince krishna osman take look attached resume steve finance background engineering background strong vince michael miller enron development sent michael linn miller enron development vince kaminski ect stinson gibner ect cc aspijk texas net discussion vince stinson given name lynn dunphy recruiting taking liberty forwarding attached cv steve roeder former collegiate swimmer currently coach master swimming program woodland wife president program also currently employed air liquide usa one subsidiary galleria area consequence air liquide pending merger boc steve belief significant personnel reduction sometime taking action try locate next professional challenge lynn suggested might fit group would grateful could look let know whether might interested alternatively see fit adequately staffed moment would grateful suggestion might might contact internally steve behalf many thanks advance miller vice president merger acquisition calme region forwarded michael linn miller enron development roeder steve pm michael miller enron com cc discussion mike thanks taking time talk last evening really appreciated way life white house living president air force one cracked please see attached document reading line hopefully one see whereas training highly technical desire transform career business side high technology application set good foundation rather limited thanks support steve roeder technology manager air liquide america fax steve roeder airliquide com steve doc,586,0
access account allowed dear lasalle bank customer email inform block lasalle bank account access notified account may compromised outside party term condition agreed state account must always control designate time noticed unusual activity related account indicates party may access control information account party past involved money laundering illegal drug terrorism various federal title violation please follow link complete security verification unlock visa check card please aware verify identity access account allowed liability account transaction may occurred result failure reactivate account instructed thank time consideration matter sincerely lasalle bank account department note request information initiated lasalle bank business development group process externally expedited customer support,233,1
rafal dziekuje za odpowiedz bede bardzo wdzieczny za ksiazke wincenty kaminski snowbird woodland tx phone cell wicek rafal weron vkamins enron com cc aleksander weron dear vince bardzo dziekuje za podeslana literature szczegolnie drugie wydanie ksiazki bylismy londynie czerwcu zeszlego roku ale ksiegarni znalezlismy tylko piersze wydanie obaj alkiem ojcem wspolpracujemy energetyka glownie polska od kilku lat zeszlym roku wydalismy ksiazke gielda energii strategie zarzadzania ryzykiem obecnie pracujemy nad jej angielskim wydaniem na jaki adres ci ja przyslac serdeczne pozdrowienia rafal,152,0
advice appreciated vince morning talking el paso candidate think something willing take certain project responsibility real life also occasionally similar stiuation example attached would like guidance situation occurs zimin forwarded zimin lu hou ect pm zimin lu pm paulo issler hou ect ect cc asian option pavel convention whoever finalizes model write documentation make sense write one change anticipated working almost year never strike need documentation created exotica xll also give excuse working exotica documentation zimin paulo issler zimin lu hou ect ect cc tai woo enron enronxgate enron pavel zadorozhny enron enronxgate asian option pavel surprised documentation ready make put together time created change made required change functionality paulo issler zimin lu tai woo enron enronxgate enron paulo issler hou ect ect cc pavel zadorozhny enron enronxgate asian option pavel tai woo code crudeapo sig spot volatility meaning price volatility within delivery period consult pavel definition extra parameter would like see position monitor get running might additional suggestion paulo documentation crudeapo worked find exotica help file please supply tai thanks tai woo enron enronxgate paulo issler hou ect ect cc kara maloney enron enronxgate zimin lu hou ect ect asian option pavel morning zimin told pavel using special model evaluating asian option portfolio asked talk order access code see difference made model find doc describing model please tell new input parameter sig thanks,635,0
mail delivery failed returning message sender message created automatically mail delivery software message sent could delivered one recipient permanent error following address failed stcelebrate aol com ultimately generated info something celebrate com smtp error remote mailer end data host mailin mx aol com hvu bl http postmaster info aol com error hvubl html transaction failed copy message including header return path received helo mailwisconsin com discostu angelsonoccasion com smtp exim id ldupmn st jh info something celebrate com tue jul received squirrelmail authenticated user projecthoneypot projecthoneypot org mailwisconsin com http id gzo tue jul message id date tue jul barry castillo info something celebrate com user agent squirrelmail mailer squirrelmail mime version content type text html charset iso content transfer encoding bit priority normal importance normal soft viagra per dose ready boost sex life positive time right order soft viagra incredibly low price starting per dose unbeiivable,417,1
houston trip hi jaideep first suggestion come houston scheduled arranged wharton nearly week ago alternatively rely tiger teammate gather information necessary respond project circumstance lead decide come trip please return ticket issued make sense visit enron time future discus arrangement time hope see soon christie forwarded christie patrick hou ect jaideep singh pm cc houston trip hello christie thank organizing wharton trip enron unfortunately flight setup tomorrow way early miss hour class afford tried changing time continental latest flight leaf pm work smack middle hour class thus dilemma find following try different flight make flight pm however control reservation budget etc possible delay travel upto year use ticket come time sorry saw booking today suggestion thanks jaideep,349,0
summer internship hi like thank opportunity letting work summer learned lot past three month hopefully help around impressed department enron really appreciate chance worked environment anyway thank wish department well brad,87,0
change coordinate dear friend colleague effective immediately returned university pennsylvania usual automatically generated contact info appear please update file best regard frank francis diebold department economics university pennsylvania locust walk philadelphia pa fdiebold mail sa upenn edu http www ssc upenn edu diebold telephone fax,99,0
know get search engine result submitting website search engine may increase online sale dramatically invested time money website simply must submit website online otherwise wiil invisibie virtuaiiy mean effort spent vain want people know website boost revenue oniy way make site visible place peopie search information submit website multiple search engine submit website online watch visitor stream business best regard beatrizbass interested,231,1
research development charge gpg dawn original notification also send one vera say never done thanks shirley forwarded shirley crenshaw hou ect kimberly watson enron pm kent miller et enron enron martha janousek et enron enron elaine concklin et enron enron vera apodaca et enron enron rod hayslett fgt enron enron vince kaminski hou ect ect pinnamaneni krishnarao hou ect ect shirley crenshaw hou ect ect cc research development charge gpg vince krishna met discus research development cross charge gpg january june charge based upon budgeted amount allocating three resource gpg group two resource revenue management one resource gpg marketing utilized group first half year full extent three resource vince krishna agreed reverse charge budgeted january june revisit issue toward end year determine adjustment necessary july december budgeted amount january june distributed nng tw follows research development budget nng tw et january february march april may june budgeted first half year reversed back research development department reversal occur july vince vera apodaca ext contact help facilitate reversal charge elaine remaining allocated going revenue management work order remaining anyone question need additional information please hesitate call thanks kim,569,0
best wish holiday period ehud best holiday wish family owe apology dropping ball conference approached number executive enron greg whalley speaks london day louise kitchen mother enrononline ski week school holiday england family come one suggestion want make rick causey talked willing speaker senior important executive enron ut grad thought vince ehud ronn pm vince kaminski enron com cc best wish holiday period vince conclusion another year prior departure tomorrow family annual florida vacation best wish holiday period family regarding spring energy finance conference participation still lack important enron energy related high level keynote speaker let know think look elsewhere best regard ehud ehud ronn jack josey professor energy study department finance mccombs school business university texas austin austin tx voice fax internet eronn mail utexas edu,295,0
greeting hello dear introduce wish inform letter hoax mail urge treat serious director procurement department ministry petroleum mineral resource united arab emirate obtained email searching reliable person could assist receiving transfer supposed contract awarded fund fund came result estimated contract awarded sum executed foreign contractor petroleum ministry fund approved payment contractor concerned ministry contract executed commissioned receive estimated fund contractor helped process obtaining contract added estimation interest normal deal go ministry top official part modality worked ensuring smooth conclusion transfer account within next day want receive fund behalf government official collect fund directly contractor neither allowed law operate run foreign bank account trustworthy assist receiving fund hesitate respond back immediately please note risk involved receiving fund account done wire transfer wish state percentage shall use account soon indicate interest detail amount involved shall given hear please treat utmost confidentiality looking forward hearing soonest best regard engr kaballa abdalla ministry petroleum ministry resource united arab emirate,373,1
real time lead broker name email address telephone company name internet web site clicking submit send request op via email call receiving mail registered user latimes com usa today one affiliate registered user may occasionally receive mail announcement regarding new feature product service latimes com calendarlive com affiliate select third party dvertisers information protect information please read privacy policy wish receive commercial email solicitation click may unsubscribe receiving commercial email reserve right send non commercial communication behalf latimes com calendarlive com affiliate careerbuilder com consistent privacy policy wish receive mail communication need unregister site clicking los angeles time west first street th floor new medium los angeles ca copyright,240,1
fea announces release energy zimin please take look think download update vince forwarded vince kaminski hou ect michelle mendoza pm cc fea announces release energy january vince kaminski enron north america corp smith street th floor rm houston tx dear vince kaminski inform release energy ftp download instruction available immediately download instruction included end email cd manual shipped within week please see information regarding new release please confirm correct recipient shipment address correct clicking reply send change need made please make change reply warning please note received license key energy june need contact support fea com call obtain new license key enable new version swing user energy swing replaces swing product see energy user manual discussion change contact fea necessary license key able run new old swing simultaneously here overview new changed feature since version energy forward curve jump parameter calibrated use energy function input output powercalib comcalib changed see corresponding function syntax user guide additional information speed improvement module beta energy basic different interpolation scheme forward price supported use indexswap exoticswap optindexswap floating price linked series future date future date need close date specified forward curve input new utility function pathutil allows simulate visualize price path consistent model supported energy speed improvement energy advanced different interpolation scheme forward price supported use optdiffswap diffswap floating price linked series future date future date need close date specified forward curve input calspreadopt allows specification two different mean reversion rate speed improvement energy swing swingopt stripswingopt allow valuation swing straddle contract overall load constraint speed improvement module beta energy weather speed improvement question please feel free contact appreciate opportunity continuing service enron north america corp regard michelle mendoza support fea com financial engineering associate inc fea download energy via ftp follow following instruction note using explorer lead unpredictable result suggest using netscape do shell using netscape location box type ftp energy ftp fea com password rbzxgv energy win exe window nt download run local drive using do shell do prompt type ftp ftp fea com user energy password rbzxgv type binary hit return type list available file type get energy win exe wait ftp prompt type quit file downloaded directory entered ftp site double click exe follow instruction screen,916,0
christmas list hello vince mike want keep informed year basket done timely manner last year going major move therefore many people played key role keeping together year however little different always nice give unfortunately give everyone sending list far name list feel something else year shirley list name expensive move team mail room facility help desk token appreciation get please note two one seen mail far need approval basket however input matter greatly appreciated list completed still waiting addition thanks kevin moore,198,0
perfect visual solution business working company image start visual identity key first good impression help take part buiiding positive visual imaqe company creatinq outstandinq logo presentabie stationery item professional website marketinq tool wiii siqnificantly contributeto success business take look work sample hot deal package see offer work interested,207,1
understanding applying financial mathematics hello email reconfirmation received speaker package sent last month regarding titled training course received please contact asap send information needed training also please remember hand following biographical detail speaker checklist copy presentation documentation printed material please keep mind need bring presentation training pre downloaded please keep mind deadline july please call email question regard amy lamonsoff training coordinator xl alamonsoff watersinfo com risk water group lafayette street suite new york ny,176,0
uc berkeley graduate student molly would like invite student interview sometimes late december thing slow interview direct report george hopley vince forwarded vince kaminski hou ect vince kaminski pm rajnish kamat enron cc vince kaminski hou ect ect uc berkeley graduate student rajnish shall invite interview houston vince rajnish kamat pm vkamins enron com cc uc berkeley graduate student dr vincent kaminski managing director head research enron corp dear dr kaminski pleasure talking attending talk today graduate student industrial engg operation research working prof shmuel oren topic financial instrument pricing design contract deregulated electricity market also research auction model computable equilibrium model application electricity market design planning graduate ph may would appreciate hearing opportunity group enron attaching copy resume file cvrkamat doc perusal thanking sincerely rajnish kamat graduate student ieor uc berkeley etcheverry hall dept industrial engineering operation research university california berkeley berkeley ca cvrkamat doc,359,0
vacation shrley problem vince shirley crenshaw pm vince kaminski hou ect ect cc anita dupont na enron enron kevin moore hou ect ect vacation vince already requested friday april th vacation day ok would also like take friday th vacation day thanks shirley,95,0
stewart seeligson join eb hi stinson vince person kevin howard told kevin finacing portion deal mentioned blow stewart commercial counterpart heading hamachi towards closure week ravi forwarded ravi thuraisingham enron communication pm eb office chairman sent dolph selten pm ec employee enron communication cc stewart seeligson join eb pleased announce stewart seeligson joined eb relocating year enron europe london stewart started enron nearly six year ago associate ect houston europe stewart successful playing key role sutton bridge originating number highly structured transaction including eastern deal recently co led enron commercial activity spain especially development mw ccgt expected begin construction later year stewart assist developing managing leading several complicated mission critical commercial transaction particular stewart focus transaction require multiple function across eb role stewart excelled enron europe stewart report directly ken rice vice president work directly commercial business unit leader project specific basis please welcome stewart eb team,294,0
perfect logo charset koi thinking breathing new life business start revamping front end logo visuai identity loqodentity offer creative custom design loqos stationery web site careful hand powerful marketing tool wili brinq breath fresh air business make stand among competitor click away future success click see sampies artwork check price hot offer,101,1
monday aug stinson problem vince stinson gibner pm vince kaminski hou ect ect cc shirley crenshaw hou ect ect monday aug vince may take vacation day next monday aug th thanks stinson,70,0
research group recruiting celeste attach brief job candidate description type people looking level osman sezgen supporting ee krishnarao supporting ee eb gpg said willing help interviewing recruiting reviewing resume also would make available eb ena would especially willing help school attended caltech rice target list let know help best regard stinson,119,0
wti trading simulation presentation combinded john finished continous trading case please see two attached file let know want add scenario happy holiday zimin attachment open close trading close close trading,83,0
sacramento weather station fyi forwarded mike robert hou ect scott tholan enron pm mark tawney hou ect ect gary taylor hou ect ect mike robert hou ect ect cc chris clark na enron enron sacramento weather station hey guy talking contractor build weather station hopefully quickly placement sacramento california variety legal contractor operational reason need confirm following requirement soon possible proceed need rainfall snowfall temperature measurement one high accuracy commercially available weather station need daily feed data enron weather desk mean one data dump set time per day alternatively need check data real time perhaps varying multiple time day installing station near sacramento california need know exactly area near sacramento suitable site weather station name town mentioned mark interest time recommend weather expert accompany landman select site allow landman quickly lease install station desire independent security measure deter detect tampering suggest given short time fuse first install station develop security measure feed data directly enron weather desk party require real time access data please forward response directly chris clark na enron thanks scott,433,0
subscription stephanie please discontinue credit renew two publication energy power risk management journal computational finance enron north america corp stephanie taylor pm vince kaminski hou ect ect cc subscription dear vince happy renew subscription risk addition following publication renewal reg subscription cost corp discount credit energy power risk management journal computational finance wish renew also take care would appreciate responding december th please include company cost center number renewal thank stephanie taylor esource,184,0
natural gas storage item vince something interesting natural gas storage class industry rapidly adopting called operational balancing agreement pipeline contract producer ldc public utility handle imbalance shipping namely production shortfall overage consumption likewise shipper always book scheduled happen actually happens end result storage facillities associated production region used smooth weekday weekend seasonal pattern well known parking insure issue wellhead output well cutting chase storage facility producing region operated insure integrity pipeline system estimated marketed production likely better estimate actual flow pipeline receipt meter production le local storage clayton,180,0
localized software language available hello would like offer localized software version qerman french spanish uk many others listed software available immediate downioad need wait week cd deiivery exampies norton internet security pro window xp professionai sp full version corel draw graphic suite dreamweaver mx homesite inciudinq macromedia studio mx browse site find software need native ianguage best reqards karine,138,1
